id,dailyacres,discoveryacres,temp_2m,temp_2m_max,humidity,rain,wind_speed_2m,wind_speed_2m_max,wind_speed_10m,wind_speed_10m_max,surface_soil_wetness_5cm_below,surface_soil_wetness_to_bedrock,wind_speed_2m_mean,wind_speed_2m_max_mean,wind_speed_10m_mean,wind_speed_10m_max_mean,humidity_mean,temp_2m_mean,rain_sum,dew_frost_point_2m,wet_bulb_temp_2m,relative_humidity,clear_sky_photosynthetically_active_radiation,all_sky_photosynthetically_active_radiation,all_sky_surface_uv_index,sum_rain,sum_snow,land_cover_class
335,471.0,0.1,24.94,33.93,8.61,0.77,1.21,3.23,2.36,6.13,0.25,0.45,1.2733333333333332,2.8766666666666665,2.6733333333333333,5.6000000000000005,7.75,24.383333333333336,0.78,9.12,17.03,38.5,130.72,89.22,1.73,89.63999999999999,0.66,489
342,69.2,0.1,24.93,34.73,3.85,0.0,1.66,3.28,2.41,4.34,0.34,0.4,2.166,4.215999999999999,3.186,5.716,5.606,24.85,0.42,-1.86,11.53,19.19,154.46,155.16,2.77,58.010000000000005,0.0,460
390,3.0,0.1,31.01,40.17,8.0,0.64,0.83,1.39,2.07,3.73,0.25,0.48,0.8700000000000001,1.5952631578947367,2.2178947368421054,4.063684210526316,9.69,27.919473684210526,19.99,8.33,19.67,27.44,133.21,110.73,2.09,47.46,0.0,358
396,1.7,1.0,30.01,37.3,7.02,0.0,5.05,7.4,6.71,9.59,0.07,0.37,3.5775,5.785,4.845,7.4125,6.41,30.6125,0.18,7.62,18.82,27.75,160.55,161.71,2.79,21.1,0.0,472
405,109.0,20.0,22.48,31.06,4.03,0.0,2.33,4.09,3.58,5.85,0.37,0.42,2.7225,4.5675,3.9525,6.315,3.6775,22.2675,0.0,-1.18,10.65,23.81,152.66,138.67,2.48,10.54,0.0,472
407,764.0,0.1,27.99,37.04,10.01,0.02,1.71,3.95,2.38,5.34,0.14,0.33,1.78,3.635,2.565,4.978333333333333,5.665,26.05666666666667,0.33,11.3,19.65,39.69,133.12,120.88,2.23,31.64,0.66,489
415,3.0,1.0,30.76,39.9,5.98,0.0,1.57,2.67,2.41,3.64,0.27,0.47,1.895,3.72,2.885,5.09,7.08,30.53,0.49,4.33,17.55,20.62,133.79,131.98,2.26,42.18,0.0,460
421,21.2,1.0,24.69,31.67,6.59,0.0,3.0,4.66,4.19,6.01,0.2,0.44,2.8966666666666665,5.333333333333333,4.173333333333333,7.146666666666666,3.6016666666666666,25.35,0.0,6.1,15.4,33.06,164.31,164.79,3.05,21.09,0.0,358
427,2.0,1.0,14.57,23.8,2.87,0.0,0.84,1.31,2.3,3.13,0.12,0.46,0.7091666666666666,1.115,2.1216666666666666,3.2616666666666667,3.0825,4.53,16.43,-5.91,4.33,24.62,67.11,66.73,0.68,105.46999999999998,2.64,42
430,423.0,80.0,9.83,21.11,3.48,0.0,1.95,3.48,3.27,4.7,0.32,0.38,1.895,3.605,3.0700000000000003,4.75,3.42,10.595,0.0,-3.66,3.08,40.19,62.0,60.9,0.54,116.01,1.32,490
