sum_rain,sum_snow,DiscoveryAcres,total_acres,temp_2m,temp_2m_max,humidity,rain,wind_speed_2m,wind_speed_2m_max,wind_speed_10m,wind_speed_10m_max,surface_soil_wetness_5cm_below,surface_soil_wetness_to_bedrock,landcover_class
147.66,0.0,10.0,120.0,23.73,32.94,4.64,0.0,3.29,4.8,4.59,6.82,0.34,0.41,472
79.1,1.98,1118.0,2236.0,16.42,24.62,4.27,0.0,3.76,7.04,5.3,9.38,0.34,0.39,489
290.04,0.0,0.1,9.4,24.46,34.8,5.25,0.0,2.37,4.34,3.63,5.99,0.48,0.52,460
121.29,3.96,2.5,5.0,6.37,15.36,3.05,0.0,1.89,3.52,4.19,6.57,0.41,0.43,155
189.84000000000003,1.32,3.0,12.47,25.93,32.37,8.24,0.72,2.06,3.57,3.03,5.45,0.3,0.45,489
121.28,2.64,1.0,11.0,15.23,23.38,4.33,0.02,0.51,1.05,1.77,2.71,0.21,0.46,148
279.48,3.3,20.0,553.0,19.0,26.32,6.04,0.56,1.06,2.59,2.72,5.59,0.37,0.48,39
168.75,0.0,0.1,2.1,28.61,35.98,9.89,0.48,1.62,3.52,2.38,4.65,0.28,0.48,46
84.38,0.66,30.0,8384.0,26.78,35.02,6.35,0.1,1.68,2.69,2.53,3.47,0.2,0.35,187
258.39,5.720000000000001,0.1,34.1,6.03,13.03,2.5,0.0,1.32,2.07,5.02,6.7,0.54,0.55,163
68.56,0.66,3.0,6.5,27.2,35.3,4.58,0.0,1.02,2.84,1.5,4.27,0.14,0.33,266
216.2,9.9,0.5,2.7,20.03,28.84,5.25,0.02,1.05,1.94,2.12,4.43,0.32,0.46,181
89.65,1.32,0.1,312.1,25.73,35.65,9.83,1.51,1.93,4.77,2.58,6.59,0.27,0.37,489
63.28,2.64,0.1,41.8,28.85,38.51,4.15,0.0,2.13,4.11,3.52,5.62,0.22,0.37,457
205.65,5.94,3.0,53.0,18.06,27.66,7.02,0.73,0.98,1.73,3.14,4.46,0.36,0.39,156
110.74,1.32,1.2,2.4,8.24,19.3,2.5,0.0,0.84,1.38,2.91,3.97,0.36,0.41,529
79.1,0.0,50.0,260.0,26.05,33.55,6.29,0.05,2.7,4.84,3.98,6.24,0.1,0.36,470
42.19,0.0,1.0,40.6,12.16,20.25,5.43,0.01,1.24,3.69,1.9,5.12,0.17,0.34,303
94.92,1.98,15.0,20.0,22.92,31.35,3.11,0.0,5.55,7.99,8.2,11.05,0.29,0.37,489
242.58,3.3000000000000003,0.1,43.4,19.96,27.96,5.31,0.01,2.26,3.63,3.34,5.16,0.45,0.48,579
137.1,1.32,0.1,70.1,15.12,25.19,3.72,0.05,1.6,2.89,3.17,4.8,0.45,0.47,187
84.36999999999999,1.32,0.5,2.5,22.01,32.58,7.51,0.21,1.59,2.49,2.81,4.13,0.31,0.34,158
152.93,0.66,25.0,123.0,22.38,30.23,5.31,0.0,2.62,4.25,3.7,5.69,0.33,0.39,182
10.55,0.0,1.0,338.0,23.28,31.01,4.76,0.0,2.56,5.09,3.88,6.48,0.09,0.42,472
316.4,0.0,30.0,283.78,23.26,31.58,6.16,0.0,2.59,4.65,3.98,6.12,0.45,0.51,582
179.27999999999997,1.32,4.6,9.2,11.62,19.73,3.42,0.0,3.54,5.35,5.45,7.21,0.38,0.41,48
100.2,3.3000000000000003,10.0,20.0,16.71,25.06,2.44,0.0,3.42,5.89,5.22,8.12,0.2,0.41,158
110.73,2.64,0.1,210.1,21.97,30.19,5.74,0.0,1.94,3.58,3.26,5.38,0.22,0.38,187
42.17999999999999,1.98,3.0,256.6,20.65,27.76,8.24,0.35,2.6,7.09,3.48,9.24,0.12,0.37,144
163.48,0.0,0.1,52.1,24.92,34.33,9.95,0.24,1.84,2.96,3.2,4.85,0.45,0.51,158
205.65,9.9,0.1,438.1,20.6,29.18,5.43,0.0,0.46,1.1,2.05,2.84,0.47,0.49,316
168.75,0.0,0.5,2.5,30.54,40.31,5.98,0.0,2.15,3.87,3.45,5.35,0.34,0.48,460
110.74,0.0,5.0,554.0,32.03,39.53,8.48,0.46,3.34,6.98,4.72,9.64,0.18,0.38,472
216.21,0.0,0.1,150.1,25.69,34.05,5.07,0.0,1.52,3.21,2.34,4.56,0.38,0.44,562
290.04,0.0,0.1,20.3,24.5,32.3,5.25,0.0,1.94,4.29,2.73,5.73,0.43,0.5,444
73.83,0.66,1.0,61.0,17.9,27.01,5.25,0.02,1.38,2.18,3.08,4.27,0.18,0.34,491
84.36999999999999,0.0,0.1,5.5,26.73,34.94,5.86,0.0,2.44,4.45,3.55,6.14,0.19,0.46,460
253.11,12.54,2.0,4.0,13.9,20.93,8.3,2.37,1.05,1.94,3.12,4.96,0.48,0.47,158
79.1,0.0,33763.0,93028.0,29.81,37.77,2.2,0.0,2.77,4.57,3.98,5.72,0.09,0.37,470
89.64999999999999,2.64,20.0,11425.0,22.92,32.12,4.27,0.0,1.95,3.46,3.36,5.14,0.32,0.38,187
110.74,1.98,500.0,10642.0,10.9,20.01,3.36,0.0,1.76,4.19,3.27,6.95,0.25,0.34,151
290.04,0.0,2.0,14.14,28.97,37.66,7.26,0.03,2.58,4.25,3.7,6.34,0.33,0.48,582
184.57,1.98,0.1,1.6,24.54,33.15,5.92,0.0,2.56,4.7,3.91,6.28,0.38,0.45,557
79.1,0.0,2.0,4.0,30.74,40.39,3.91,0.0,2.54,5.2,4.02,7.09,0.12,0.36,472
100.19,0.66,7.0,106.0,23.77,30.34,8.67,0.83,1.98,3.8,2.95,5.04,0.27,0.38,187
63.28,0.0,0.1,1.7000000000000002,10.13,18.81,2.01,0.0,1.56,3.05,2.53,3.91,0.16,0.38,542
147.65,3.96,0.1,124.1,24.97,34.32,6.04,0.37,0.86,2.21,1.5,3.93,0.21,0.38,489
158.20999999999998,6.6,20.0,82.0,21.49,30.36,6.29,0.53,1.07,1.8,2.68,4.73,0.3,0.38,316
221.48,0.0,0.1,4.1,16.77,25.59,5.86,0.0,2.12,4.66,3.1,6.4,0.43,0.46,556
116.02,2.64,1.0,3.0,20.98,29.34,6.47,0.22,2.34,5.07,3.71,7.43,0.36,0.38,498
79.11,0.66,25.0,93.0,25.92,34.55,4.7,0.0,1.91,3.73,2.95,5.02,0.26,0.35,484
63.28,0.66,0.5,4.07,25.69,32.7,4.46,0.0,3.32,6.05,4.98,8.07,0.17,0.38,316
